Angle(deg),BER_Bound_Exact_Integral
0.00,1.75255593e-03
0.01,1.75249535e-03
0.02,1.75231538e-03
0.03,1.75201881e-03
0.04,1.75160814e-03
0.05,1.75108583e-03
0.06,1.75045433e-03
0.07,1.74971607e-03
0.08,1.74887346e-03
0.09,1.74792893e-03
0.10,1.74688487e-03
0.11,1.74574365e-03
0.12,1.74450765e-03
0.13,1.74317920e-03
0.14,1.74176061e-03
0.15,1.74025420e-03
0.16,1.73866222e-03
0.17,1.73698694e-03
0.18,1.73523057e-03
0.19,1.73339530e-03
0.20,1.73148330e-03
0.21,1.72949670e-03
0.22,1.72743760e-03
0.23,1.72530807e-03
0.24,1.72311014e-03
0.25,1.72084581e-03
0.26,1.71851706e-03
0.27,1.71612581e-03
0.28,1.71367395e-03
0.29,1.71116334e-03
0.30,1.70859581e-03
0.31,1.70597314e-03
0.32,1.70329708e-03
0.33,1.70056935e-03
0.34,1.69779161e-03
0.35,1.69496551e-03
0.36,1.69209265e-03
0.37,1.68917460e-03
0.38,1.68621288e-03
0.39,1.68320900e-03
0.40,1.68016441e-03
0.41,1.67708054e-03
0.42,1.67395877e-03
0.43,1.67080047e-03
0.44,1.66760695e-03
0.45,1.66437950e-03
0.46,1.66111938e-03
0.47,1.65782781e-03
0.48,1.65450599e-03
0.49,1.65115507e-03
0.50,1.64777619e-03
0.51,1.64437044e-03
0.52,1.64093890e-03
0.53,1.63748261e-03
0.54,1.63400258e-03
0.55,1.63049979e-03
0.56,1.62697522e-03
0.57,1.62342978e-03
0.58,1.61986438e-03
0.59,1.61627992e-03
0.60,1.61267724e-03
0.61,1.60905717e-03
0.62,1.60542053e-03
0.63,1.60176811e-03
0.64,1.59810066e-03
0.65,1.59441893e-03
0.66,1.59072365e-03
0.67,1.58701550e-03
0.68,1.58329518e-03
0.69,1.57956333e-03
0.70,1.57582062e-03
0.71,1.57206765e-03
0.72,1.56830504e-03
0.73,1.56453336e-03
0.74,1.56075321e-03
0.75,1.55696511e-03
0.76,1.55316963e-03
0.77,1.54936727e-03
0.78,1.54555854e-03
0.79,1.54174394e-03
0.80,1.53792395e-03
0.81,1.53409903e-03
0.82,1.53026962e-03
0.83,1.52643617e-03
0.84,1.52259911e-03
0.85,1.51875884e-03
0.86,1.51491576e-03
0.87,1.51107026e-03
0.88,1.50722272e-03
0.89,1.50337350e-03
0.90,1.49952296e-03
0.91,1.49567145e-03
