Angle(deg),BER
0.00,2.49999844e-04
0.01,2.49984663e-04
0.02,2.49939458e-04
0.03,2.49864873e-04
0.04,2.49761467e-04
0.05,2.49629705e-04
0.06,2.49470047e-04
0.07,2.49282969e-04
0.08,2.49068965e-04
0.09,2.48828535e-04
0.10,2.48562183e-04
0.11,2.48270409e-04
0.12,2.47953713e-04
0.13,2.47612589e-04
0.14,2.47247532e-04
0.15,2.46859033e-04
0.16,2.46447580e-04
0.17,2.46013659e-04
0.18,2.45557755e-04
0.19,2.45080349e-04
0.20,2.44581919e-04
0.21,2.44062940e-04
0.22,2.43523886e-04
0.23,2.42965227e-04
0.24,2.42387429e-04
0.25,2.41790956e-04
0.26,2.41176268e-04
0.27,2.40543821e-04
0.28,2.39894068e-04
0.29,2.39227459e-04
0.30,2.38544439e-04
0.31,2.37845450e-04
0.32,2.37130929e-04
0.33,2.36401309e-04
0.34,2.35657021e-04
0.35,2.34898489e-04
0.36,2.34126133e-04
0.37,2.33340370e-04
0.38,2.32541612e-04
0.39,2.31730266e-04
0.40,2.30906733e-04
0.41,2.30071413e-04
0.42,2.29224698e-04
0.43,2.28366975e-04
0.44,2.27498629e-04
0.45,2.26620038e-04
0.46,2.25731575e-04
0.47,2.24833607e-04
0.48,2.23926499e-04
0.49,2.23010609e-04
0.50,2.22086288e-04
0.51,2.21153886e-04
0.52,2.20213744e-04
0.53,2.19266201e-04
0.54,2.18311587e-04
0.55,2.17350230e-04
0.56,2.16382451e-04
0.57,2.15408567e-04
0.58,2.14428889e-04
0.59,2.13443721e-04
0.60,2.12453365e-04
0.61,2.11458115e-04
0.62,2.10458261e-04
0.63,2.09454088e-04
0.64,2.08445875e-04
0.65,2.07433896e-04
0.66,2.06418419e-04
0.67,2.05399708e-04
0.68,2.04378021e-04
0.69,2.03353611e-04
0.70,2.02326726e-04
0.71,2.01297608e-04
0.72,2.00266496e-04
0.73,1.99233622e-04
0.74,1.98199214e-04
0.75,1.97163494e-04
0.76,1.96126679e-04
0.77,1.95088982e-04
