Angle(deg),BER_Bound_Eq70
0.00,1.00000000e+30
0.01,1.00000000e+30
0.02,1.00000000e+30
0.03,1.00000000e+30
0.04,1.00000000e+30
0.05,1.00000000e+30
0.06,1.00000000e+30
0.07,1.00000000e+30
0.08,1.00000000e+30
0.09,1.00000000e+30
0.10,1.00000000e+30
0.11,1.00000000e+30
0.12,1.00000000e+30
0.13,1.00000000e+30
0.14,1.00000000e+30
0.15,1.00000000e+30
0.16,1.00000000e+30
0.17,1.00000000e+30
0.18,1.00000000e+30
0.19,1.00000000e+30
0.20,1.00000000e+30
0.21,1.00000000e+30
0.22,1.00000000e+30
0.23,1.77510004e+06
0.24,1.37507280e+06
0.25,1.07635745e+06
0.26,8.50667918e+05
0.27,6.78299141e+05
0.28,5.45330155e+05
0.29,4.41797956e+05
0.30,3.60485905e+05
0.31,2.96107850e+05
0.32,2.44751082e+05
0.33,2.03491089e+05
0.34,1.70121897e+05
0.35,1.42965180e+05
0.36,1.20733697e+05
0.37,1.02432615e+05
0.38,8.72875422e+04
0.39,7.46915687e+04
0.40,6.41659742e+04
0.41,5.53308390e+04
0.42,4.78829003e+04
0.43,4.15787463e+04
0.44,3.62219758e+04
0.45,3.16533240e+04
0.46,2.77430219e+04
0.47,2.43848503e+04
0.48,2.14914859e+04
0.49,1.89908389e+04
0.50,1.68231573e+04
0.51,1.49387244e+04
0.52,1.32960209e+04
0.53,1.18602501e+04
0.54,1.06021504e+04
0.55,9.49703364e+03
0.56,8.52400472e+03
0.57,7.66532509e+03
0.58,6.90589160e+03
0.59,6.23280862e+03
0.60,5.63503531e+03
0.61,5.10309383e+03
0.62,4.62882736e+03
0.63,4.20519867e+03
0.64,3.82612191e+03
0.65,3.48632185e+03
0.66,3.18121566e+03
0.67,2.90681340e+03
0.68,2.65963400e+03
0.69,2.43663415e+03
0.70,2.23514802e+03
0.71,2.05283588e+03
0.72,1.88764045e+03
0.73,1.73774946e+03
0.74,1.60156368e+03
0.75,1.47766944e+03
0.76,1.36481503e+03
0.77,1.26189034e+03
0.78,1.16790927e+03
0.79,1.08199453e+03
0.80,1.00336447e+03
0.81,9.31321631e+02
0.82,8.65242792e+02
0.83,8.04570283e+02
0.84,7.48804421e+02
0.85,6.97496886e+02
0.86,6.50244919e+02
0.87,6.06686237e+02
0.88,5.66494563e+02
0.89,5.29375693e+02
0.90,4.95064030e+02
0.91,4.63319528e+02
0.92,4.33924988e+02
0.93,4.06683671e+02
0.94,3.81417174e+02
0.95,3.57963551e+02
0.96,3.36175649e+02
0.97,3.15919615e+02
0.98,2.97073577e+02
0.99,2.79526464e+02
1.00,2.63176952e+02
1.01,2.47932523e+02
1.02,2.33708624e+02
1.03,2.20427910e+02
1.04,2.08019569e+02
1.05,1.96418716e+02
1.06,1.85565843e+02
1.07,1.75406333e+02
1.08,1.65890014e+02
1.09,1.56970761e+02
1.10,1.48606140e+02
1.11,1.40757076e+02
1.12,1.33387569e+02
1.13,1.26464418e+02
1.14,1.19956989e+02
1.15,1.13836991e+02
1.16,1.08078283e+02
1.17,1.02656691e+02
1.18,9.75498445e+01
1.19,9.27370305e+01
1.20,8.81990568e+01
1.21,8.39181293e+01
1.22,7.98777393e+01
1.23,7.60625619e+01
1.24,7.24583616e+01
1.25,6.90519076e+01
1.26,6.58308952e+01
1.27,6.27838745e+01
1.28,5.99001850e+01
1.29,5.71698952e+01
1.30,5.45837483e+01
1.31,5.21331109e+01
1.32,4.98099274e+01
1.33,4.76066766e+01
1.34,4.55163334e+01
1.35,4.35323320e+01
1.36,4.16485333e+01
1.37,3.98591939e+01
1.38,3.81589382e+01
1.39,3.65427326e+01
1.40,3.50058608e+01
1.41,3.35439026e+01
1.42,3.21527128e+01
1.43,3.08284025e+01
1.44,2.95673215e+01
1.45,2.83660424e+01
1.46,2.72213453e+01
1.47,2.61302042e+01
1.48,2.50897738e+01
1.49,2.40973779e+01
1.50,2.31504981e+01
1.51,2.22467635e+01
1.52,2.13839414e+01
1.53,2.05599281e+01
1.54,1.97727411e+01
1.55,1.90205109e+01
1.56,1.83014742e+01
1.57,1.76139670e+01
1.58,1.69564187e+01
1.59,1.63273463e+01
1.60,1.57253486e+01
1.61,1.51491018e+01
1.62,1.45973543e+01
1.63,1.40689225e+01
1.64,1.35626870e+01
1.65,1.30775882e+01
1.66,1.26126232e+01
1.67,1.21668424e+01
1.68,1.17393463e+01
1.69,1.13292824e+01
1.70,1.09358429e+01
1.71,1.05582616e+01
1.72,1.01958122e+01
1.73,9.84780515e+00
1.74,9.51358640e+00
1.75,9.19253490e+00
1.76,8.88406093e+00
1.77,8.58760432e+00
1.78,8.30263281e+00
1.79,8.02864052e+00
1.80,7.76514651e+00
1.81,7.51169341e+00
1.82,7.26784617e+00
1.83,7.03319080e+00
1.84,6.80733330e+00
1.85,6.58989857e+00
1.86,6.38052942e+00
1.87,6.17888559e+00
1.88,5.98464290e+00
1.89,5.79749241e+00
1.90,5.61713959e+00
1.91,5.44330362e+00
1.92,5.27571666e+00
1.93,5.11412319e+00
1.94,4.95827940e+00
1.95,4.80795258e+00
1.96,4.66292055e+00
1.97,4.52297116e+00
1.98,4.38790178e+00
1.99,4.25751881e+00
2.00,4.13163727e+00
2.01,4.01008035e+00
2.02,3.89267900e+00
2.03,3.77927159e+00
2.04,3.66970353e+00
2.05,3.56382690e+00
2.06,3.46150021e+00
2.07,3.36258800e+00
2.08,3.26696062e+00
2.09,3.17449395e+00
2.10,3.08506908e+00
2.11,2.99857214e+00
2.12,2.91489403e+00
2.13,2.83393021e+00
2.14,2.75558046e+00
2.15,2.67974873e+00
2.16,2.60634291e+00
2.17,2.53527467e+00
2.18,2.46645927e+00
2.19,2.39981543e+00
2.20,2.33526515e+00
2.21,2.27273355e+00
2.22,2.21214877e+00
2.23,2.15344182e+00
2.24,2.09654644e+00
2.25,2.04139898e+00
2.26,1.98793831e+00
2.27,1.93610569e+00
2.28,1.88584467e+00
2.29,1.83710100e+00
2.30,1.78982253e+00
2.31,1.74395910e+00
2.32,1.69946249e+00
2.33,1.65628633e+00
2.34,1.61438598e+00
2.35,1.57371853e+00
2.36,1.53424266e+00
2.37,1.49591861e+00
2.38,1.45870812e+00
2.39,1.42257433e+00
2.40,1.38748176e+00
2.41,1.35339625e+00
2.42,1.32028488e+00
2.43,1.28811594e+00
2.44,1.25685888e+00
2.45,1.22648426e+00
2.46,1.19696371e+00
2.47,1.16826987e+00
2.48,1.14037638e+00
2.49,1.11325779e+00
2.50,1.08688960e+00
2.51,1.06124815e+00
2.52,1.03631062e+00
2.53,1.01205500e+00
2.54,9.88460048e-01
2.55,9.65505262e-01
2.56,9.43170856e-01
2.57,9.21437729e-01
2.58,9.00287439e-01
2.59,8.79702179e-01
2.60,8.59664749e-01
2.61,8.40158540e-01
2.62,8.21167506e-01
2.63,8.02676142e-01
2.64,7.84669471e-01
2.65,7.67133016e-01
2.66,7.50052785e-01
2.67,7.33415254e-01
2.68,7.17207348e-01
2.69,7.01416425e-01
2.70,6.86030260e-01
2.71,6.71037031e-01
2.72,6.56425301e-01
2.73,6.42184009e-01
2.74,6.28302450e-01
2.75,6.14770271e-01
2.76,6.01577449e-01
2.77,5.88714284e-01
2.78,5.76171389e-01
2.79,5.63939675e-01
2.80,5.52010343e-01
2.81,5.40374872e-01
2.82,5.29025012e-01
2.83,5.17952773e-01
2.84,5.07150412e-01
2.85,4.96610433e-01
2.86,4.86325571e-01
2.87,4.76288787e-01
2.88,4.66493259e-01
2.89,4.56932377e-01
2.90,4.47599733e-01
2.91,4.38489117e-01
2.92,4.29594506e-01
2.93,4.20910061e-01
2.94,4.12430123e-01
2.95,4.04149199e-01
2.96,3.96061966e-01
2.97,3.88163258e-01
2.98,3.80448064e-01
2.99,3.72911523e-01
3.00,3.65548919e-01
3.01,3.58355674e-01
3.02,3.51327347e-01
3.03,3.44459625e-01
3.04,3.37748325e-01
3.05,3.31189384e-01
3.06,3.24778857e-01
3.07,3.18512916e-01
3.08,3.12387842e-01
3.09,3.06400023e-01
3.10,3.00545952e-01
3.11,2.94822222e-01
3.12,2.89225524e-01
3.13,2.83752642e-01
3.14,2.78400452e-01
3.15,2.73165920e-01
3.16,2.68046094e-01
3.17,2.63038109e-01
3.18,2.58139178e-01
3.19,2.53346592e-01
3.20,2.48657718e-01
3.21,2.44069997e-01
3.22,2.39580940e-01
3.23,2.35188126e-01
3.24,2.30889202e-01
3.25,2.26681879e-01
3.26,2.22563930e-01
3.27,2.18533190e-01
3.28,2.14587552e-01
3.29,2.10724967e-01
3.30,2.06943439e-01
3.31,2.03241029e-01
3.32,1.99615849e-01
3.33,1.96066060e-01
3.34,1.92589874e-01
3.35,1.89185550e-01
3.36,1.85851393e-01
3.37,1.82585754e-01
3.38,1.79387024e-01
3.39,1.76253642e-01
3.40,1.73184083e-01
3.41,1.70176864e-01
3.42,1.67230541e-01
3.43,1.64343706e-01
3.44,1.61514990e-01
3.45,1.58743057e-01
3.46,1.56026607e-01
3.47,1.53364372e-01
3.48,1.50755118e-01
3.49,1.48197641e-01
3.50,1.45690770e-01
3.51,1.43233361e-01
3.52,1.40824301e-01
3.53,1.38462505e-01
3.54,1.36146913e-01
3.55,1.33876495e-01
3.56,1.31650246e-01
3.57,1.29467183e-01
3.58,1.27326352e-01
3.59,1.25226820e-01
3.60,1.23167677e-01
3.61,1.21148037e-01
3.62,1.19167035e-01
