Angle(deg),BER
0.00,5.27753059e-03
0.01,5.27727802e-03
0.02,5.27653040e-03
0.03,5.27530220e-03
0.04,5.27360709e-03
0.05,5.27145872e-03
0.06,5.26887075e-03
0.07,5.26585674e-03
0.08,5.26243019e-03
0.09,5.25860446e-03
0.10,5.25439280e-03
0.11,5.24980829e-03
0.12,5.24486385e-03
0.13,5.23957222e-03
0.14,5.23394592e-03
0.15,5.22799727e-03
0.16,5.22173835e-03
0.17,5.21518099e-03
0.18,5.20833678e-03
0.19,5.20121706e-03
0.20,5.19383288e-03
0.21,5.18619502e-03
0.22,5.17831401e-03
0.23,5.17020007e-03
0.24,5.16186313e-03
0.25,5.15331288e-03
0.26,5.14455867e-03
0.27,5.13560960e-03
0.28,5.12647447e-03
0.29,5.11716180e-03
0.30,5.10767984e-03
0.31,5.09803655e-03
0.32,5.08823962e-03
0.33,5.07829649e-03
0.34,5.06821431e-03
0.35,5.05799998e-03
0.36,5.04766017e-03
0.37,5.03720127e-03
0.38,5.02662945e-03
0.39,5.01595066e-03
0.40,5.00517058e-03
0.41,4.99429471e-03
0.42,4.98332832e-03
0.43,4.97227647e-03
0.44,4.96114403e-03
0.45,4.94993567e-03
0.46,4.93865586e-03
0.47,4.92730891e-03
0.48,4.91589895e-03
0.49,4.90442994e-03
0.50,4.89290567e-03
0.51,4.88132978e-03
0.52,4.86970577e-03
0.53,4.85803697e-03
0.54,4.84632661e-03
0.55,4.83457775e-03
0.56,4.82279333e-03
0.57,4.81097619e-03
0.58,4.79912902e-03
0.59,4.78725443e-03
0.60,4.77535489e-03
0.61,4.76343277e-03
0.62,4.75149037e-03
0.63,4.73952986e-03
0.64,4.72755334e-03
0.65,4.71556281e-03
0.66,4.70356018e-03
0.67,4.69154730e-03
0.68,4.67952593e-03
0.69,4.66749775e-03
0.70,4.65546438e-03
0.71,4.64342736e-03
0.72,4.63138818e-03
0.73,4.61934825e-03
0.74,4.60730894e-03
0.75,4.59527155e-03
0.76,4.58323732e-03
0.77,4.57120745e-03
0.78,4.55918308e-03
0.79,4.54716531e-03
0.80,4.53515518e-03
0.81,4.52315371e-03
0.82,4.51116184e-03
0.83,4.49918051e-03
0.84,4.48721059e-03
0.85,4.47525293e-03
0.86,4.46330833e-03
0.87,4.45137758e-03
0.88,4.43946141e-03
0.89,4.42756053e-03
