Angle(deg),f(R)
0.00,1.80000000e+31
0.01,1.00000000e+31
0.02,2.00000000e+30
0.03,2.00000000e+30
0.04,2.00000000e+30
0.05,2.00000000e+30
0.06,2.00000000e+30
0.07,2.00000000e+30
0.08,2.00000000e+30
0.09,2.00000000e+30
0.10,2.00000000e+30
0.11,2.00000000e+30
0.12,2.00000000e+30
0.13,2.00000000e+30
0.14,2.00000000e+30
0.15,2.00000000e+30
0.16,2.00000000e+30
0.17,2.00000000e+30
0.18,2.00000000e+30
0.19,2.00000000e+30
0.20,2.00000000e+30
0.21,2.00000000e+30
0.22,2.00000000e+30
0.23,2.54939032e+15
0.24,1.97487378e+15
0.25,1.54586062e+15
0.26,1.22172662e+15
0.27,9.74171506e+14
0.28,7.83202110e+14
0.29,6.34509640e+14
0.30,5.17729611e+14
0.31,4.25270088e+14
0.32,3.51511665e+14
0.33,2.92254180e+14
0.34,2.44329424e+14
0.35,2.05326998e+14
0.36,1.73398172e+14
0.37,1.47114173e+14
0.38,1.25362823e+14
0.39,1.07272483e+14
0.40,9.21556155e+13
0.41,7.94665820e+13
0.42,6.87698375e+13
0.43,5.97157952e+13
0.44,5.20223841e+13
0.45,4.54608687e+13
0.46,3.98448752e+13
0.47,3.50218518e+13
0.48,3.08663848e+13
0.49,2.72749393e+13
0.50,2.41616993e+13
0.51,2.14552617e+13
0.52,1.90959966e+13
0.53,1.70339290e+13
0.54,1.52270333e+13
0.55,1.36398524e+13
0.56,1.22423768e+13
0.57,1.10091303e+13
0.58,9.91842168e+12
0.59,8.95173029e+12
0.60,8.09319920e+12
0.61,7.32921633e+12
0.62,6.64806682e+12
0.63,6.03964375e+12
0.64,5.49520662e+12
0.65,5.00717910e+12
0.66,4.56897931e+12
0.67,4.17487688e+12
0.68,3.81987225e+12
0.69,3.49959464e+12
0.70,3.21021532e+12
0.71,2.94837398e+12
0.72,2.71111592e+12
0.73,2.49583834e+12
0.74,2.30024441e+12
0.75,2.12230383e+12
0.76,1.96021886e+12
0.77,1.81239513e+12
0.78,1.67741641e+12
0.79,1.55402272e+12
0.80,1.44109146e+12
0.81,1.33762091e+12
0.82,1.24271599e+12
0.83,1.15557578e+12
0.84,1.07548262e+12
0.85,1.00179262e+12
0.86,9.33927334e+11
0.87,8.71366451e+11
0.88,8.13641360e+11
0.89,7.60329520e+11
0.90,7.11049477e+11
0.91,6.65456471e+11
0.92,6.23238558e+11
0.93,5.84113175e+11
0.94,5.47824094e+11
0.95,5.14138729e+11
0.96,4.82845731e+11
0.97,4.53752860e+11
0.98,4.26685078e+11
0.99,4.01482864e+11
1.00,3.78000692e+11
1.01,3.56105687e+11
1.02,3.35676409e+11
1.03,3.16601775e+11
1.04,2.98780082e+11
1.05,2.82118139e+11
1.06,2.66530480e+11
1.07,2.51938662e+11
1.08,2.38270626e+11
1.09,2.25460127e+11
1.10,2.13446217e+11
1.11,2.02172779e+11
1.12,1.91588105e+11
1.13,1.81644512e+11
1.14,1.72298002e+11
1.15,1.63507943e+11
1.16,1.55236790e+11
1.17,1.47449822e+11
1.18,1.40114910e+11
1.19,1.33202306e+11
1.20,1.26684446e+11
1.21,1.20535771e+11
1.22,1.14732572e+11
1.23,1.09252838e+11
1.24,1.04076124e+11
1.25,9.91834271e+10
1.26,9.45570743e+10
1.27,9.01806209e+10
1.28,8.60387555e+10
1.29,8.21172144e+10
1.30,7.84027022e+10
1.31,7.48828192e+10
1.32,7.15459953e+10
1.33,6.83814285e+10
1.34,6.53790287e+10
1.35,6.25293658e+10
1.36,5.98236223e+10
1.37,5.72535494e+10
1.38,5.48114264e+10
1.39,5.24900233e+10
1.40,5.02825667e+10
1.41,4.81827078e+10
1.42,4.61844930e+10
1.43,4.42823367e+10
1.44,4.24709965e+10
1.45,4.07455496e+10
1.46,3.91013714e+10
1.47,3.75341156e+10
1.48,3.60396957e+10
1.49,3.46142678e+10
1.50,3.32542149e+10
1.51,3.19561318e+10
1.52,3.07168115e+10
1.53,2.95332329e+10
1.54,2.84025482e+10
1.55,2.73220723e+10
1.56,2.62892727e+10
1.57,2.53017595e+10
1.58,2.43572768e+10
1.59,2.34536945e+10
1.60,2.25890002e+10
1.61,2.17612925e+10
1.62,2.09687737e+10
1.63,2.02097439e+10
1.64,1.94825951e+10
1.65,1.87858056e+10
1.66,1.81179350e+10
1.67,1.74776193e+10
1.68,1.68635664e+10
1.69,1.62745522e+10
1.70,1.57094160e+10
1.71,1.51670578e+10
1.72,1.46464340e+10
1.73,1.41465545e+10
1.74,1.36664797e+10
1.75,1.32053176e+10
1.76,1.27622213e+10
1.77,1.23363861e+10
1.78,1.19270475e+10
1.79,1.15334790e+10
1.80,1.11549897e+10
1.81,1.07909228e+10
1.82,1.04406534e+10
1.83,1.01035868e+10
1.84,9.77915714e+09
1.85,9.46682567e+09
1.86,9.16607933e+09
1.87,8.87642940e+09
1.88,8.59741026e+09
1.89,8.32857816e+09
1.90,8.06951006e+09
1.91,7.81980262e+09
1.92,7.57907113e+09
1.93,7.34694858e+09
1.94,7.12308477e+09
1.95,6.90714545e+09
1.96,6.69881149e+09
1.97,6.49777819e+09
1.98,6.30375449e+09
1.99,6.11646233e+09
2.00,5.93563600e+09
2.01,5.76102153e+09
2.02,5.59237613e+09
2.03,5.42946763e+09
2.04,5.27207397e+09
2.05,5.11998273e+09
2.06,4.97299063e+09
2.07,4.83090314e+09
2.08,4.69353402e+09
2.09,4.56070497e+09
2.10,4.43224523e+09
2.11,4.30799123e+09
2.12,4.18778625e+09
2.13,4.07148013e+09
2.14,3.95892894e+09
2.15,3.84999470e+09
2.16,3.74454511e+09
2.17,3.64245329e+09
2.18,3.54359753e+09
2.19,3.44786108e+09
2.20,3.35513189e+09
2.21,3.26530243e+09
2.22,3.17826947e+09
2.23,3.09393391e+09
2.24,3.01220056e+09
2.25,2.93297803e+09
2.26,2.85617848e+09
2.27,2.78171756e+09
2.28,2.70951419e+09
2.29,2.63949042e+09
2.30,2.57157135e+09
2.31,2.50568494e+09
2.32,2.44176193e+09
2.33,2.37973568e+09
2.34,2.31954213e+09
2.35,2.26111959e+09
2.36,2.20440873e+09
2.37,2.14935244e+09
2.38,2.09589575e+09
2.39,2.04398573e+09
2.40,1.99357142e+09
2.41,1.94460372e+09
2.42,1.89703538e+09
2.43,1.85082083e+09
2.44,1.80591619e+09
2.45,1.76227919e+09
2.46,1.71986905e+09
2.47,1.67864648e+09
2.48,1.63857362e+09
2.49,1.59961392e+09
2.50,1.56173217e+09
2.51,1.52489440e+09
2.52,1.48906782e+09
2.53,1.45422082e+09
2.54,1.42032288e+09
2.55,1.38734456e+09
2.56,1.35525743e+09
2.57,1.32403406e+09
2.58,1.29364796e+09
2.59,1.26407353e+09
2.60,1.23528609e+09
2.61,1.20726177e+09
2.62,1.17997753e+09
2.63,1.15341108e+09
2.64,1.12754092e+09
2.65,1.10234625e+09
2.66,1.07780697e+09
2.67,1.05390365e+09
2.68,1.03061752e+09
2.69,1.00793041e+09
2.70,9.85824759e+08
2.71,9.64283590e+08
2.72,9.43290473e+08
2.73,9.22829517e+08
2.74,9.02885348e+08
2.75,8.83443090e+08
2.76,8.64488347e+08
2.77,8.46007186e+08
2.78,8.27986121e+08
2.79,8.10412097e+08
2.80,7.93272473e+08
2.81,7.76555010e+08
2.82,7.60247857e+08
2.83,7.44339533e+08
2.84,7.28818920e+08
2.85,7.13675248e+08
2.86,6.98898079e+08
2.87,6.84477303e+08
2.88,6.70403121e+08
2.89,6.56666037e+08
2.90,6.43256845e+08
2.91,6.30166625e+08
2.92,6.17386724e+08
2.93,6.04908757e+08
2.94,5.92724590e+08
2.95,5.80826337e+08
2.96,5.69206347e+08
2.97,5.57857201e+08
2.98,5.46771702e+08
2.99,5.35942865e+08
3.00,5.25363915e+08
3.01,5.15028276e+08
3.02,5.04929569e+08
3.03,4.95061598e+08
3.04,4.85418354e+08
3.05,4.75993999e+08
3.06,4.66782869e+08
3.07,4.57779461e+08
3.08,4.48978434e+08
3.09,4.40374599e+08
3.10,4.31962919e+08
3.11,4.23738499e+08
3.12,4.15696584e+08
3.13,4.07832556e+08
3.14,4.00141927e+08
3.15,3.92620336e+08
3.16,3.85263546e+08
3.17,3.78067439e+08
3.18,3.71028010e+08
3.19,3.64141371e+08
3.20,3.57403737e+08
3.21,3.50811431e+08
3.22,3.44360879e+08
3.23,3.38048602e+08
3.24,3.31871220e+08
3.25,3.25825445e+08
3.26,3.19908077e+08
3.27,3.14116007e+08
3.28,3.08446206e+08
3.29,3.02895732e+08
3.30,2.97461718e+08
3.31,2.92141377e+08
3.32,2.86931997e+08
3.33,2.81830936e+08
3.34,2.76835626e+08
3.35,2.71943566e+08
3.36,2.67152319e+08
