SNR(dB),BER_Unrotated(0deg),BER_SSD(15.47deg)
0.0,8.21417388e+00,8.30621905e+00
1.0,6.84850505e+00,6.93613486e+00
2.0,5.66229804e+00,5.74510141e+00
3.0,4.64354142e+00,4.72115075e+00
4.0,3.77793167e+00,3.85000742e+00
5.0,3.04992559e+00,3.11615669e+00
6.0,2.44361053e+00,2.50372855e+00
7.0,1.94337907e+00,1.99717878e+00
8.0,1.53441885e+00,1.58177571e+00
9.0,1.20304052e+00,1.24391785e+00
10.0,9.36869767e-01,9.71315578e-01
11.0,7.24928637e-01,7.53068767e-01
12.0,5.57630239e-01,5.79667558e-01
13.0,4.26711967e-01,4.42936734e-01
14.0,3.25132525e-01,3.35940135e-01
15.0,2.46954764e-01,2.52859640e-01
16.0,1.87228931e-01,1.88862378e-01
17.0,1.41882123e-01,1.39968068e-01
18.0,1.07613309e-01,1.02924902e-01
19.0,8.17912442e-02,7.50982088e-02
20.0,6.23540861e-02,5.43726544e-02
21.0,4.77121889e-02,3.90667644e-02
22.0,3.66573046e-02,2.78581383e-02
23.0,2.82815396e-02,1.97181101e-02
24.0,2.19082794e-02,1.38551463e-02
25.0,1.70357384e-02,9.66656194e-03
26.0,1.32924456e-02,6.69811081e-03
27.0,1.04031397e-02,4.61081711e-03
28.0,8.16320825e-03,3.15421999e-03
29.0,6.41983031e-03,2.14510038e-03
30.0,5.05820492e-03,1.45077071e-03
31.0,3.99154784e-03,9.76095032e-04
32.0,3.15383438e-03,6.53522805e-04
33.0,2.49452402e-03,4.35532887e-04
34.0,1.97470820e-03,2.88982308e-04
35.0,1.56427965e-03,1.90938646e-04
36.0,1.23983666e-03,1.25648570e-04
37.0,9.83119272e-04,8.23611001e-05
38.0,7.79832877e-04,5.37827952e-05
39.0,6.18756448e-04,3.49927886e-05
40.0,4.91061719e-04,2.26877655e-05
