SNR(dB),BER_Unrotated(0deg),BER_SSD(27.37deg)
0.0,2.04504871e-01,1.98363522e-01
1.0,1.70846547e-01,1.62209181e-01
2.0,1.41238043e-01,1.30096058e-01
3.0,1.15704300e-01,1.02285682e-01
4.0,9.40692822e-02,7.88177086e-02
5.0,7.60121463e-02,5.95264564e-02
6.0,6.11277938e-02,4.40782079e-02
7.0,4.89801435e-02,3.20220464e-02
8.0,3.91419355e-02,2.28452331e-02
9.0,3.12199530e-02,1.60244966e-02
10.0,2.48678065e-02,1.10668348e-02
11.0,1.97897175e-02,7.53664669e-03
12.0,1.57386765e-02,5.06920747e-03
13.0,1.25116254e-02,3.37284815e-03
14.0,9.94347220e-03,2.22334552e-03
15.0,7.90101529e-03,1.45405727e-03
16.0,6.27734496e-03,9.44652055e-04
17.0,4.98695685e-03,6.10329550e-04
18.0,3.96162783e-03,3.92536306e-04
19.0,3.14700852e-03,2.51522222e-04
20.0,2.49984645e-03,1.60677437e-04
21.0,1.98574335e-03,1.02391874e-04
22.0,1.57735454e-03,6.51199592e-05
23.0,1.25294858e-03,4.13494000e-05
24.0,9.95258136e-04,2.62221149e-05
25.0,7.90564501e-04,1.66119439e-05
26.0,6.27969142e-04,1.05151816e-05
27.0,4.98814342e-04,6.65163636e-06
28.0,3.96222678e-04,4.20545712e-06
29.0,3.14731042e-04,2.65776757e-06
30.0,2.49999844e-04,1.67910051e-06
31.0,1.98581980e-04,1.06052691e-06
32.0,1.57739297e-04,6.69692490e-07
33.0,1.25296789e-04,4.22821028e-07
34.0,9.95267828e-05,2.66919319e-07
35.0,7.90569366e-05,1.68483568e-07
36.0,6.27971583e-05,1.06340481e-07
37.0,4.98815566e-05,6.71136256e-08
38.0,3.96223292e-05,4.23545183e-08
39.0,3.14731350e-05,2.67282478e-08
40.0,2.49999998e-05,1.68665667e-08
