SNR(dB),BER
0.0,2.36461996e+00
1.0,1.97153541e+00
2.0,1.62753470e+00
3.0,1.33044459e+00
4.0,1.07710379e+00
5.0,8.63683428e-01
6.0,6.85982872e-01
7.0,5.39684178e-01
8.0,4.20554558e-01
9.0,3.24592749e-01
10.0,2.48122258e-01
11.0,1.87840441e-01
12.0,1.40835332e-01
13.0,1.04581470e-01
14.0,7.69229189e-02
15.0,5.60482448e-02
16.0,4.04599715e-02
17.0,2.89401586e-02
18.0,2.05138433e-02
19.0,1.44122931e-02
20.0,1.00379519e-02
21.0,6.93252246e-03
22.0,4.74901823e-03
23.0,3.22802882e-03
24.0,2.17803758e-03
25.0,1.45940606e-03
26.0,9.71562876e-04
27.0,6.42928839e-04
28.0,4.23133328e-04
29.0,2.77108279e-04
30.0,1.80684953e-04
31.0,1.17364543e-04
32.0,7.59849291e-05
33.0,4.90577813e-05
34.0,3.15983649e-05
35.0,2.03118588e-05
36.0,1.30340176e-05
37.0,8.35085004e-06
38.0,5.34266288e-06
39.0,3.41342155e-06
40.0,2.17794305e-06
