SNR(dB),BER
0.0,1.98363522e-01
1.0,1.62209181e-01
2.0,1.30096058e-01
3.0,1.02285682e-01
4.0,7.88177086e-02
5.0,5.95264564e-02
6.0,4.40782079e-02
7.0,3.20220464e-02
8.0,2.28452331e-02
9.0,1.60244966e-02
10.0,1.10668348e-02
11.0,7.53664669e-03
12.0,5.06920747e-03
13.0,3.37284815e-03
14.0,2.22334552e-03
15.0,1.45405727e-03
16.0,9.44652055e-04
17.0,6.10329550e-04
18.0,3.92536306e-04
19.0,2.51522222e-04
20.0,1.60677437e-04
21.0,1.02391874e-04
22.0,6.51199592e-05
23.0,4.13494000e-05
24.0,2.62221149e-05
25.0,1.66119439e-05
26.0,1.05151816e-05
27.0,6.65163636e-06
28.0,4.20545712e-06
29.0,2.65776757e-06
30.0,1.67910051e-06
31.0,1.06052691e-06
32.0,6.69692490e-07
33.0,4.22821028e-07
34.0,2.66919319e-07
35.0,1.68483568e-07
36.0,1.06340481e-07
37.0,6.71136256e-08
38.0,4.23545183e-08
39.0,2.67282478e-08
40.0,1.68665667e-08
